,sentence
0,"When you're beginning to look like the photo in your passport, you should go on a holiday."
1,"It wasn't me, commissioner!"
2,"Oh, my white pants! And they were new."
3,With so many people around he naturally became a bit nervous.
4,"When I left the train station, I saw a man."
5,You're an angel!
6,People from Madrid are weird.
7,"Well, the night is quite long, isn't it?"
8,You're lucky because he didn't bite you.
9,Did you miss me?
10,Are they all the same?
11,Thank you very much!
12,"Where are the eggs, please?"
13,I'll take him.
14,It's a surprise.
15,That's a good idea!
16,Round trip? Only one-way.
17,It's a pity when somebody dies.
18,They were left speechless.
19,Damn! It's not bad!
20,Pull into shape after washing.
21,Wash before first wearing.
22,Don't open before the train stops.
23,Those who live in glass houses should not throw stones.
24,They say love is blind.
25,"Oh, I'm sorry."
26,"Math is like love: a simple idea, but it can get complicated."
27,The only useful answers are those that raise new questions.
28,To have doubts about oneself is the first sign of intelligence.
29,"Poor is not the one who has too little, but the one who wants too much."
30,"Seeing that you're not surprised, I think you must have known."
31,How long does it take to get to the station?
32,This will be a good souvenir of my trip around the United States.
33,Excuse me; allow me to point out three errors in the above article.
34,"It is difficult to keep up a conversation with someone who only says ""yes"" and ""no""."
35,Do you speak Italian?
36,"""I can't think with that noise,"" she said, as she stared at the typewriter."
37,"It is said that ""Hamlet"" is the most interesting play ever written."
38,Ne tenez aucun compte de ce qu'il dit.
39,May I ask a question?
40,"""How do you feel?"" he inquired."
41,It's quite difficult to master French in 2 or 3 years.
42,It's impossible for me to explain it to you.
43,I don't want to spend the rest of my life regretting it.
44,It would be fun to see how things change over the years.
45,I would never have guessed that.
46,Imagination affects every aspect of our lives.
47,You'll forget about me someday.
48,That is rather unexpected.
49,I wonder how long it's going to take.
50,I can't live without a TV.
51,I couldn't have done it without you. Thank you.
52,Nothing is achieved without effort.
53,Many people drift through life without a purpose.
54,Life without love is just totally pointless.
55,Let me know if I need to make any changes.
56,I think exams are ruining education.
57,We can't sleep because of the noise.
58,Do you have a condom?
59,Do whatever he tells you.
60,I can walk to school in 10 minutes.
61,It took me more than two hours to translate a few pages of English.
62,It is already eleven.
63,May I talk to Ms. Brown?
64,"""Yes, orange juice please,"" says Mike."
65,"""Ah!"" is an interjection."
66,What do you want?
67,The mandatory character of schooling is rarely analyzed in the multitude of works dedicated to the study of the various ways to develop within children the desire to learn.
68,You suck dude! I have to tell you everything!
69,I have a bone to pick with you.
70,Do you need me to give you some money?
71,Paris is the most beautiful city in the world.
72,"Hey, I may have no money, but I still have my pride."
73,I have a dream.
74,This is my friend Rachel. We went to high school together.
75,The cost of life increased drastically.
76,"All that which is invented, is true."
77,"To be surprised, to wonder, is to begin to understand."
78,But the universe is infinite.
79,To be perfect she lacked just one defect.
80,"And yet, the contrary is always true as well."
81,"We don't see things as they are, but as we are."
82,The world is a den of crazies.
83,You opened up my eyes to what it's like when everything is right.
84,You found me where no one else was looking.
85,You're by my side; everything's fine now.
86,What do you mean you don't know?!
87,You look stupid.
88,I think I'm gonna go to sleep.
89,My name is Jack.
90,I like it very much.
91,We're meeting up tomorrow?
92,How do you say that in Italian?
93,I have to go shopping. I'll be back in an hour.
94,Is it far from here?
95,These things aren't mine!
96,"Thanks, that's all."
97,Would you like to dance with me?
98,Italy is a very beautiful country.
99,It's not my fault!
100,I'd like to stay for one night.
101,Could you dial for me? The telephone is too high.
102,Is there a youth hostel near here?
103,Where are the showers?
104,Open your mouth!
105,Is it bad?
106,I have lost my wallet.
107,Love is never wasted.
108,Life is what happens to you while you're busy making other plans.
109,Not wanting is the same as having.
110,He's very sexy.
111,"""Pass me the salt, please."" ""Here you are."""
112,There are too many things to do!
113,"Come on, play with me, I'm so bored!"
114,Don't you even think of eating my chocolate!
115,Stop asking me for a drink! Go get it yourself.
116,Thanks to you I've lost my appetite.
117,I really need to hit somebody.
118,Who doesn't know this problem?!
119,It has been so long since I last went to Disneyland with my family.
120,My parents keep arguing about stupid things. It's so annoying!
121,"If you don't want to put on sunscreen, that's your problem. Just don't come complaining to me when you get a sunburn."
122,"My friends always say I'm too calm, but my family always says I'm too annoying."
123,I hate those spiders. They're always there to freak me out when I'm cleaning.
124,So annoying... Now I get a headache whenever I use the computer!
125,It's so hot that you could cook an egg on the hood of a car.
126,It is very hot today.
127,Nobody came.
128,I never saw a red fridge.
129,Better to be hated for who you are than loved for who you're not.
130,It's lonely in the saddle since the horse died.
131,Mathematics is the part of science you could continue to do if you woke up tomorrow and discovered the universe was gone.
132,My eyes are an ocean in which my dreams are reflected.
133,"You know the phrase, we reap what we sow. I have sown the wind and this is my storm."
134,Look at me when I talk to you!
135,What would the world be without women?
136,What if you gave a speech and nobody came?
137,I don't know what to say to make you feel better.
138,This is not my type.
139,I was trying to kill time.
140,How did you come up with this crazy idea?
141,I'm tired.
142,Who wants some hot chocolate?
143,"Speak more slowly, please!"
144,When do we arrive?
145,"The check, please."
146,And what are we going to do?
147,I have a headache.
148,Where can one make a phone call?
149,I must admit that I snore.
150,Tonight we're going to church.
151,How are you? Did you have a good trip?
152,I don't feel well.
153,Call the police!
154,It's too expensive!
155,She's faking sleep. That's why she's not snoring.
156,My shoes are too small. I need new ones.
157,We're getting out of here. The cops are coming.
158,Merry Christmas!
159,It would be so cool if I could speak ten languages!
160,"""If you're tired, why don't you go to sleep?"" ""Because if I go to sleep now I will wake up too early."""
161,You should have listened to me.
162,"It's a complete mess, and it's getting on my nerves."
163,"When the body is touched, receptors in the skin send messages to the brain causing the release of chemicals such as endorphins."
164,What does it involve?
165,One hundred and fifty thousand couples are expected to get married in Shanghai in 2006.
166,Those selected will have to face extensive medical and psychological tests.
167,Half a million children still face malnutrition in Niger.
168,It will take five to ten years for the technology to be ready.
169,Bicycles are tools for urban sustainability.
170,The French government has launched an online game that challenges taxpayers to balance the national budget.
171,He would be glad to hear that.
172,What do you believe is true even though you cannot prove it?
173,Computers make people stupid.
174,Don't ask what they think. Ask what they do.
175,"When you're trying to prove something, it helps to know it's true."
176,"What changes the world is communication, not information."
177,Most scientific breakthroughs are nothing else than the discovery of the obvious.
